Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,pH
300,-10.19062,-0.70003,-3.32234,-8.97456,-13.931,77.91385,-91.62930214,-16.0484,88.10447,-103.9084368,-21.2683,98.29509,-119.2827903,-33.0963,108.48571,-141.2497355,2.256,5.0816,7.71,-138.1824487,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,-13.931,77.91385,-91.62930214,-16.0484,88.10447,-103.9084368,-21.2683,98.29509,-119.2827903,-33.0963,108.48571,-141.2497355,2.256,5.0816,7.71,-138.1824487,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,-13.931,77.91385,-91.62930214,-16.0484,88.10447,-103.9084368,-21.2683,98.29509,-119.2827903,-33.0963,108.48571,-141.2497355,2.256,5.0816,7.71,-138.1824487,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,-13.931,77.91385,-91.62930214,-16.0484,88.10447,-103.9084368,-21.2683,98.29509,-119.2827903,-33.0963,108.48571,-141.2497355,2.256,5.0816,7.71,-138.1824487,,10.1906
299.999,-10.19062,-0.70003,-3.32235,-8.97455,-13.9308,77.91387,-91.62896269,-16.0482,88.10449,-103.908076,-21.2681,98.29511,-119.2824027,-33.0961,108.48573,-141.2493095,2.256,5.0816,7.71,-138.1820281,,10.1906
299.997,-10.19061,-0.70003,-3.32238,-8.97453,-13.9304,77.91395,-91.6283237,-16.0478,88.10456,-103.9073841,-21.2678,98.29517,-119.281747,-33.0958,108.48578,-141.2485672,2.256,5.0816,7.71,-138.1812978,,10.1906
299.991,-10.19059,-0.70003,-3.32246,-8.97446,-13.9294,77.91411,-91.62652648,-16.0468,88.1047,-103.9054384,-21.2668,98.29529,-119.2796204,-33.0947,108.48588,-141.2460909,2.256,5.0817,7.71,-138.1788699,,10.1906
299.973,-10.19053,-0.70002,-3.32271,-8.97424,-13.9262,77.9145,-91.62084559,-16.0436,88.10503,-103.899312,-21.2638,98.29556,-119.2731508,-33.0915,108.48609,-141.2386721,2.256,5.0818,7.71,-138.1715833,,10.1905
299.913,-10.19033,-0.70001,-3.3235,-8.97355,-13.9158,77.91597,-91.60234615,-16.033,88.1063,-103.8791282,-21.2538,98.29663,-119.2517565,-33.081,108.48696,-141.2142799,2.256,5.0825,7.7099,-138.1482142,,10.1903
299.725,-10.18971,-0.69996,-3.32601,-8.97137,-13.8829,77.92052,-91.54402504,-15.9999,88.11023,-103.8159618,-21.2225,98.29994,-119.1847236,-33.0478,108.48965,-141.1375292,2.255,5.0844,7.7098,-138.0734191,,10.1897
299.133,-10.18777,-0.6998,-3.33394,-8.96448,-13.7794,77.9349,-91.36064854,-15.8957,88.12267,-103.6172739,-21.124,98.31044,-118.9738993,-32.9437,108.49821,-140.8965083,2.254,5.0906,7.7093,-137.8396161,,10.1878
297.277,-10.18194,-0.69931,-3.35904,-8.94296,-13.4555,77.98237,-90.78988115,-15.5694,88.16431,-102.9985847,-20.8157,98.34625,-118.3174901,-32.618,108.52819,-140.1459353,2.2505,5.1098,7.7083,-137.1081148,,10.1819
291.57,-10.16626,-0.69784,-3.43847,-8.87722,-12.4633,78.14846,-89.06949867,-14.5697,88.31472,-101.1332713,-19.8704,98.48098,-116.3369753,-31.6244,108.64724,-137.8841406,2.239,5.1682,7.7113,-134.8673072,,10.1663
275,-10.1389,-0.6937,-3.68776,-8.69048,-9.5989,78.79698,-84.34177081,-11.6804,88.93588,-96.00170537,-17.135,99.07478,-110.8800391,-28.7858,109.21368,-131.6703959,2.2022,5.334,7.7629,-128.4480663,,10.1389
233.93,-10.17565,-0.68417,-4.41968,-8.26014,-2.4127,81.43581,-74.00875598,-4.4211,91.61146,-84.76298862,-10.2534,101.78711,-98.89238061,-21.8056,111.96276,-118.0704334,2.0962,5.7445,8.0915,-112.6718995,,10.1757
233.254,-10.17743,-0.68402,-4.43308,-8.25351,-2.2919,81.4916,-73.85278873,-4.299,91.66903,-84.59310776,-10.1377,101.84646,-98.71087397,-21.6895,112.02389,-117.8645765,2.0943,5.7515,8.0988,-112.4072799,,10.1774
195.326,-10.33736,-0.67632,-5.25813,-7.91184,4.6903,85.31038,-65.74183842,2.7556,95.64774,-75.74911931,-3.4578,105.9851,-89.24547642,-15.0326,116.32246,-107.1138001,1.9862,6.1619,8.584,-97.26416344,,10.3374
162.5,-10.57849,-0.6708,-6.09875,-7.67006,11.1364,89.80852,-59.65815865,9.2619,100.38701,-69.10143351,2.6832,110.9655,-82.11196841,-8.9556,121.54399,-98.95964726,1.8903,6.5629,9.1132,-85.26269065,,10.5785
99.134,-11.37652,-0.66395,-8.1392,-7.35753,24.9982,102.32181,-50.1069267,23.2112,113.69833,-58.63709662,15.7529,125.07485,-70.84235896,3.9469,136.45137,-85.86499992,1.7157,7.5295,10.4102,-69.84034567,,11.3765
91.07,-11.52007,-0.66397,-8.45717,-7.32643,26.9231,104.39255,-49.11402599,25.1424,115.91262,-57.54643855,17.5495,127.43269,-69.66366547,5.7221,138.95276,-84.46547765,1.6962,7.6774,10.6035,-68.19047951,,11.5201
50,-12.40484,-0.6643,0,-7.26458,37.3681,55.1753,-10.0163864,35.5884,67.58014,-17.99505983,27.1967,79.98498,-29.69292251,15.2767,92.38982,-43.37542152,1.6174,8.554,11.7051,-23.48664731,,12.4048
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 8.5) Low C Low H,,,,arg 2+,,,arg +,,,arg,,,arg-,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,,,,,
300,-10.19062,-0.70003,-3.32234,-8.97456,-13.931,77.91385,-91.62930214,-16.0484,88.10447,-103.9084368,-21.2683,98.29509,-119.2827903,-33.0963,108.48571,-141.2497355,2.256,5.0816,7.71,-138.1824487,,10.1906
