Shallow Rock,Activity (pH = 8.5) High C and High H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,
233.93,-10.12726,-0.70193,-4.2622,-11.51286,221.1402,16.14305,663.448182,219.5523,26.27031,625.5335007,211.4767,36.39757,566.6221725,2.7068,6.9407,566.6273113,,10.1273
175.149,-10.41788,-0.68904,-5.57937,-11.00244,246.3787,18.2283,652.7873172,245.1126,28.64618,619.3569399,236.4837,39.06406,564.8600097,2.5054,7.3881,564.8733255,,10.4179
162.5,-10.52173,-0.68677,-5.91405,-10.91448,252.7206,18.80289,650.4044821,251.5178,29.32462,617.8046124,242.7396,39.84635,564.1414632,2.4698,7.5105,564.1588426,,10.5217
99.958,-11.30421,-0.67895,-7.91234,-10.60426,290.5382,22.46579,638.3654638,289.6268,33.77,609.2762205,279.9074,45.07421,559.2123346,2.3393,8.2915,559.3100979,,11.3042
91.07,-11.4623,-0.67898,-8.26261,-10.56987,296.987,23.13203,636.6007127,296.1139,34.59433,607.9259567,286.2275,46.05663,558.2989675,2.3283,8.4312,558.4325494,,11.4623
50,-12.34842,-0.67937,-9.95576,-10.50936,331.4616,26.45899,629.0576083,330.7481,38.80741,602.1178384,319.9464,51.15583,554.3714957,2.3143,9.2008,555.11777,,12.3484
,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 11) Low C and Low H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,
300,-10.14359,-0.71921,-3.1763,-12.22858,199.0602,14.73881,674.2589765,196.9764,24.8824,629.5304322,189.2754,35.02599,564.2538249,3.0312,6.6537,565.1707136,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,199.0602,14.73881,674.2589765,196.9764,24.8824,629.5304322,189.2754,35.02599,564.2538249,3.0312,6.6537,565.1707136,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,199.0602,14.73881,674.2589765,196.9764,24.8824,629.5304322,189.2754,35.02599,564.2538249,3.0312,6.6537,565.1707136,,10.1436
300,-10.14359,-0.71921,-3.17631,-12.22858,199.0602,14.73883,674.2589034,196.9764,24.88242,629.530359,189.2754,35.02601,564.2537517,3.0312,6.6537,565.1706405,,10.1436
299.999,-10.14359,-0.71921,-3.17631,-12.22857,199.0604,14.73882,674.2584952,196.9767,24.88241,629.5303947,189.2757,35.026,564.2539013,3.0312,6.6537,565.1707884,,10.1436
299.997,-10.14358,-0.71921,-3.17634,-12.22855,199.061,14.73886,674.2581908,196.9773,24.88244,629.530283,189.2763,35.02602,564.254054,3.0312,6.6537,565.1709374,,10.1436
299.991,-10.14356,-0.71921,-3.17642,-12.22848,199.0628,14.73895,674.2573875,196.9791,24.88251,629.5300211,189.2781,35.02607,564.2545486,3.0312,6.6538,565.1716295,,10.1436
299.973,-10.1435,-0.7192,-3.17667,-12.22827,199.0681,14.73921,674.2546477,196.9846,24.88271,629.529637,189.2836,35.02621,564.2564339,3.0311,6.6538,565.173483,,10.1435
299.913,-10.14331,-0.71918,-3.17746,-12.22758,199.0858,14.74004,674.2457624,197.0029,24.88335,629.5283233,189.3017,35.02666,564.2619172,3.0307,6.654,565.1792872,,10.1433
299.725,-10.1427,-0.71913,-3.17997,-12.22541,199.1413,14.74274,674.2176211,197.0603,24.88544,629.5240295,189.3584,35.02814,564.2787057,3.0295,6.6544,565.1966125,,10.1427
299.133,-10.14081,-0.71897,-3.18791,-12.21857,199.3163,14.7513,674.128822,197.2412,24.89211,629.5098693,189.5371,35.03292,564.3308366,3.0259,6.656,565.2511475,,10.1408
297.277,-10.13511,-0.71845,-3.21302,-12.19719,199.8672,14.77858,673.8488547,197.8106,24.91369,629.4627124,190.0995,35.0488,564.4903324,3.0146,6.6609,565.4179858,,10.1351
291.57,-10.11977,-0.71689,-3.29237,-12.13179,201.5846,14.8672,672.9776846,199.5818,24.98697,629.2848145,191.8479,35.10674,564.9355814,2.981,6.6773,565.8891713,,10.1198
275,-10.09287,-0.71244,-3.54031,-11.94549,206.7776,15.16343,670.3625498,204.9134,25.2563,628.5307169,197.1016,35.34917,565.8911938,2.8913,6.7353,566.9498324,,10.0929
258.839,-10.08997,-0.70822,-3.80631,-11.76967,212.1598,15.50695,667.7064948,210.4128,25.59692,627.5157641,202.5089,35.68689,566.420164,2.8132,6.8058,567.6310889,,10.09
233.93,-10.12726,-0.70193,-4.2622,-11.51286,221.1402,16.14305,663.448182,219.5523,26.27031,625.5335007,211.4767,36.39757,566.6221725,2.7068,6.9407,568.2037172,,10.1273
175.149,-10.41788,-0.68904,-5.57937,-11.00244,246.3787,18.2283,652.7873172,245.1126,28.64618,619.3569399,236.4837,39.06406,564.8600097,2.5054,7.3881,568.7696946,,10.4179
162.5,-10.52173,-0.68677,-5.91405,-10.91448,252.7206,18.80289,650.4044821,251.5178,29.32462,617.8046124,242.7396,39.84635,564.1414632,2.4698,7.5105,569.1282291,,10.5217
99.958,-11.30421,-0.67895,-7.91234,-10.60426,290.5382,22.46579,638.3654638,289.6268,33.77,609.2762205,279.9074,45.07421,559.2123346,2.3393,8.2915,578.3483252,,11.3042
91.07,-11.4623,-0.67898,-8.26261,-10.56987,296.987,23.13203,636.6007127,296.1139,34.59433,607.9259567,286.2275,46.05663,558.2989675,2.3283,8.4312,581.1511292,,11.4623
50,-12.34842,-0.67937,-9.95576,-10.50936,331.4616,26.45899,629.0576083,330.7481,38.80741,602.1178384,319.9464,51.15583,554.3714957,2.3143,9.2008,594.1880373,,12.3484
